author id,created_at,tweet_id,tweet,entities,like_count,quote_count,retweet_count
author id,created_at,tweet_id,tweet,entities,like_count,quote_count,retweet_count
42622053,2022-08-30 10:36:55+00:00,1564562806686507009,"@what5updoc Yep, that's the crucial caveat: likely to be skewed towards middle and higher-income households, and pensioners.

Here's some *old* BoE research on this...

https://t.co/BBRg3Mk2do https://t.co/SgYiYqV4Rl","{'mentions': [{'start': 0, 'end': 11, 'username': 'what5updoc', 'id': '374076851'}], 'urls': [{'start': 169, 'end': 192, 'url': 'https://t.co/BBRg3Mk2do', 'expanded_url': 'https://www.bankofengland.co.uk/bank-overground/2020/how-has-covid-affected-household-savings', 'display_url': 'bankofengland.co.uk/bank-overgroun…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1598454724554289152/JUVXXDZ3?format=jpg&name=orig', 'width': 1440, 'height': 300}, {'url': 'https://pbs.twimg.com/news_img/1598454724554289152/JUVXXDZ3?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'How has Covid affected household savings?', 'description': 'The purpose of Bank Overground is to share our internal analysis. Each bite-sized post summarises a piece of analysis that supported a policy or operational decision.', 'unwound_url': 'https://www.bankofengland.co.uk/bank-overground/2020/how-has-covid-affected-household-savings'}, {'start': 193, 'end': 216, 'url': 'https://t.co/SgYiYqV4Rl', 'expanded_url': 'https://twitter.com/julianHjessop/status/1564562806686507009/photo/1', 'display_url': 'pic.twitter.com/SgYiYqV4Rl', 'media_key': '3_1564562650763337731'}]}",2,0,0
1514533946691883010,2022-08-30 08:12:58+00:00,1564526580520652800,"RT @emily_rj: Another financial conflict of interest article ft. Vinay Prasad

“nothing to do with Long Covid”

Some kids and teens who can…","{'annotations': [{'start': 65, 'end': 76, 'probability': 0.9521, 'type': 'Person', 'normalized_text': 'Vinay Prasad'}, {'start': 104, 'end': 108, 'probability': 0.7588, 'type': 'Other', 'normalized_text': 'Covid'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'emily_rj', 'id': '184959283'}]}",0,0,16
28055175,2022-08-30 07:25:53+00:00,1564514729791557632,"RT @emily_rj: Another financial conflict of interest article ft. Vinay Prasad

“nothing to do with Long Covid”

Some kids and teens who can…","{'annotations': [{'start': 65, 'end': 76, 'probability': 0.9521, 'type': 'Person', 'normalized_text': 'Vinay Prasad'}, {'start': 104, 'end': 108, 'probability': 0.7588, 'type': 'Other', 'normalized_text': 'Covid'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'emily_rj', 'id': '184959283'}]}",0,0,16
1550900608755912705,2022-08-30 06:57:13+00:00,1564507515118702592,RT @RyanOlsson: @AsmJoseMedina @GeneralRoth Understanding of COVID-19 data/science changes as more studies are done. Current CDC guidance w…,"{'annotations': [{'start': 61, 'end': 68, 'probability': 0.9804, 'type': 'Other', 'normalized_text': 'COVID-19'}, {'start': 125, 'end': 127, 'probability': 0.864, 'type': 'Organization', 'normalized_text': 'CDC'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'RyanOlsson', 'id': '348346786'}, {'start': 16, 'end': 30, 'username': 'AsmJoseMedina', 'id': '1260648566'}, {'start': 31, 'end': 43, 'username': 'GeneralRoth', 'id': '712892347'}]}",0,0,3
3108375436,2022-08-30 06:31:59+00:00,1564501166418890752,RT @rredhead926: @ilike_mike  Understanding of COVID-19 science changes as more studies are done. Current CDC guidance would’ve been “misin…,"{'annotations': [{'start': 47, 'end': 54, 'probability': 0.975, 'type': 'Other', 'normalized_text': 'COVID-19'}, {'start': 106, 'end': 108, 'probability': 0.9123, 'type': 'Organization', 'normalized_text': 'CDC'}], 'mentions': [{'start': 3, 'end': 15, 'username': 'rredhead926', 'id': '366362027'}, {'start': 17, 'end': 28, 'username': 'ilike_mike', 'id': '64295441'}]}",0,0,4
3108375436,2022-08-30 06:28:42+00:00,1564500338119307264,RT @RyanOlsson: @AsmJoseMedina @GeneralRoth Understanding of COVID-19 data/science changes as more studies are done. Current CDC guidance w…,"{'annotations': [{'start': 61, 'end': 68, 'probability': 0.9804, 'type': 'Other', 'normalized_text': 'COVID-19'}, {'start': 125, 'end': 127, 'probability': 0.864, 'type': 'Organization', 'normalized_text': 'CDC'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'RyanOlsson', 'id': '348346786'}, {'start': 16, 'end': 30, 'username': 'AsmJoseMedina', 'id': '1260648566'}, {'start': 31, 'end': 43, 'username': 'GeneralRoth', 'id': '712892347'}]}",0,0,3
1062374360118448128,2022-08-30 05:41:46+00:00,1564488526804275200,"RT @emily_rj: Another financial conflict of interest article ft. Vinay Prasad

“nothing to do with Long Covid”

Some kids and teens who can…","{'annotations': [{'start': 65, 'end': 76, 'probability': 0.9521, 'type': 'Person', 'normalized_text': 'Vinay Prasad'}, {'start': 104, 'end': 108, 'probability': 0.7588, 'type': 'Other', 'normalized_text': 'Covid'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'emily_rj', 'id': '184959283'}]}",0,0,16
1556630828,2022-08-30 04:58:37+00:00,1564477668090839040,"RT @emily_rj: Another financial conflict of interest article ft. Vinay Prasad

“nothing to do with Long Covid”

Some kids and teens who can…","{'annotations': [{'start': 65, 'end': 76, 'probability': 0.9521, 'type': 'Person', 'normalized_text': 'Vinay Prasad'}, {'start': 104, 'end': 108, 'probability': 0.7588, 'type': 'Other', 'normalized_text': 'Covid'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'emily_rj', 'id': '184959283'}]}",0,0,16
1232530595705585664,2022-08-30 03:51:12+00:00,1564460701124825088,"RT @emily_rj: Another financial conflict of interest article ft. Vinay Prasad

“nothing to do with Long Covid”

Some kids and teens who can…","{'annotations': [{'start': 65, 'end': 76, 'probability': 0.9521, 'type': 'Person', 'normalized_text': 'Vinay Prasad'}, {'start': 104, 'end': 108, 'probability': 0.7588, 'type': 'Other', 'normalized_text': 'Covid'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'emily_rj', 'id': '184959283'}]}",0,0,16
