author id,created_at,tweet_id,tweet,entities,like_count,quote_count,retweet_count
author id,created_at,tweet_id,tweet,entities,like_count,quote_count,retweet_count
38652279,2022-03-30 18:05:58+00:00,1509230467329015811,"@CFUWFCFDU .@valerieafrey, @OECD: Women were disproportionately more likely to leave their jobs during the pandemic to care for their children at home.

Research indicates that men may have taken on more care responsibilities at home during COVID. Will this trend continue? @CFUWFCFDU https://t.co/grmJbwsfC9","{'mentions': [{'start': 0, 'end': 10, 'username': 'CFUWFCFDU', 'id': '3081554303'}, {'start': 12, 'end': 25, 'username': 'ValerieAFrey', 'id': '2459221032'}, {'start': 27, 'end': 32, 'username': 'OECD', 'id': '25390350'}, {'start': 274, 'end': 284, 'username': 'CFUWFCFDU', 'id': '3081554303'}], 'annotations': [{'start': 241, 'end': 245, 'probability': 0.9613, 'type': 'Other', 'normalized_text': 'COVID'}], 'urls': [{'start': 285, 'end': 308, 'url': 'https://t.co/grmJbwsfC9', 'expanded_url': 'https://twitter.com/equiteNBequity/status/1509230467329015811/photo/1', 'display_url': 'pic.twitter.com/grmJbwsfC9', 'media_key': '3_1509230341013352466'}]}",1,0,0
826610246651170817,2022-03-30 16:50:16+00:00,1509211417030836229,RT @JACCJournals: New #JACC Patient Care Pathways case explores how a multimodality team of clinicians work together to apply contemporary…,"{'hashtags': [{'start': 22, 'end': 27, 'tag': 'JACC'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'JACCJournals', 'id': '3199033990'}], 'annotations': [{'start': 23, 'end': 26, 'probability': 0.4701, 'type': 'Other', 'normalized_text': 'JACC'}, {'start': 36, 'end': 48, 'probability': 0.7884, 'type': 'Other', 'normalized_text': 'Care Pathways'}]}",0,0,4
1492138147,2022-03-30 16:04:57+00:00,1509200012261179410,"RT @MLC_Research: ""An increased awareness that life is a riskier business than we moderns had come to think is, I suggest, likely to be one…","{'mentions': [{'start': 3, 'end': 16, 'username': 'MLC_Research', 'id': '459444512'}]}",0,0,1
73571891,2022-03-30 15:58:14+00:00,1509198322833240070,RT @JACCJournals: New #JACC Patient Care Pathways case explores how a multimodality team of clinicians work together to apply contemporary…,"{'hashtags': [{'start': 22, 'end': 27, 'tag': 'JACC'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'JACCJournals', 'id': '3199033990'}], 'annotations': [{'start': 23, 'end': 26, 'probability': 0.4701, 'type': 'Other', 'normalized_text': 'JACC'}, {'start': 36, 'end': 48, 'probability': 0.7884, 'type': 'Other', 'normalized_text': 'Care Pathways'}]}",0,0,4
481032495,2022-03-30 08:29:03+00:00,1509085282888749057,@waynemcdougall @Strange_G ‘massively’ isn’t science. And it’s wrong. 2 x more likely to catch covid if vaxxed. https://t.co/89UlxI4lNS,"{'mentions': [{'start': 0, 'end': 15, 'username': 'waynemcdougall', 'id': '15043619'}, {'start': 16, 'end': 26, 'username': 'Strange_G', 'id': '214226555'}], 'annotations': [{'start': 95, 'end': 99, 'probability': 0.9659, 'type': 'Other', 'normalized_text': 'covid'}], 'urls': [{'start': 112, 'end': 135, 'url': 'https://t.co/89UlxI4lNS', 'expanded_url': 'https://twitter.com/roysters23456/status/1509085282888749057/photo/1', 'display_url': 'pic.twitter.com/89UlxI4lNS', 'media_key': '3_1509085276479815684'}]}",0,0,0
32463503,2022-03-29 19:11:28+00:00,1508884563359117316,New #JACC Patient Care Pathways case explores how a multimodality team of clinicians work together to apply contemporary approaches to diagnosis &amp; tx related to #COVID19 that complement the ACC Expert Consensus Decision Pathway on CV Sequelae of COVID-19. https://t.co/uet2NDlN9s https://t.co/VAV6kW2Mwq,"{'hashtags': [{'start': 4, 'end': 9, 'tag': 'JACC'}, {'start': 165, 'end': 173, 'tag': 'COVID19'}], 'annotations': [{'start': 5, 'end': 30, 'probability': 0.6364, 'type': 'Other', 'normalized_text': 'JACC Patient Care Pathways'}, {'start': 166, 'end': 172, 'probability': 0.9675, 'type': 'Other', 'normalized_text': 'COVID19'}, {'start': 194, 'end': 230, 'probability': 0.5453, 'type': 'Other', 'normalized_text': 'ACC Expert Consensus Decision Pathway'}, {'start': 235, 'end': 245, 'probability': 0.4148, 'type': 'Other', 'normalized_text': 'CV Sequelae'}, {'start': 250, 'end': 257, 'probability': 0.9814, 'type': 'Other', 'normalized_text': 'COVID-19'}], 'urls': [{'start': 260, 'end': 283, 'url': 'https://t.co/uet2NDlN9s', 'expanded_url': 'https://bit.ly/3iJbEOy', 'display_url': 'bit.ly/3iJbEOy', 'images': [{'url': 'https://pbs.twimg.com/news_img/1608859778930851842/r7KbNexF?format=jpg&name=orig', 'width': 296, 'height': 100}, {'url': 'https://pbs.twimg.com/news_img/1608859778930851842/r7KbNexF?format=jpg&name=150x150', 'width': 100, 'height': 100}], 'status': 200, 'title': 'JACC Patient Care Pathways', 'description': 'JACC Patient Care Pathways is a new immersive, multimedia case report experience that depicts the integration of cross-specialty decision making supported by evidence-based medicine within a single patient journey.', 'unwound_url': 'https://www.jacc.org/jacc-patient-care-pathways?utm_medium=social&utm_source=twitter_post&utm_campaign=jpp'}, {'start': 284, 'end': 307, 'url': 'https://t.co/VAV6kW2Mwq', 'expanded_url': 'https://twitter.com/ACCinTouch/status/1508884563359117316/photo/1', 'display_url': 'pic.twitter.com/VAV6kW2Mwq', 'media_key': '3_1508884561245220870'}]}",3,0,0
3199033990,2022-03-29 19:07:12+00:00,1508883491978625029,"New #JACC Patient Care Pathways case explores how a multimodality team of clinicians work together to apply contemporary approaches to Dx &amp; Tx related to #COVID19 that complement the recent ACC Expert Consensus on CV Sequelae of COVID-19.

Get started ➡️ https://t.co/0OjyiJ6lwn https://t.co/ZlKiTsrvZv","{'hashtags': [{'start': 4, 'end': 9, 'tag': 'JACC'}, {'start': 158, 'end': 166, 'tag': 'COVID19'}], 'annotations': [{'start': 5, 'end': 30, 'probability': 0.5958, 'type': 'Other', 'normalized_text': 'JACC Patient Care Pathways'}, {'start': 159, 'end': 165, 'probability': 0.9441, 'type': 'Other', 'normalized_text': 'COVID19'}, {'start': 221, 'end': 228, 'probability': 0.3318, 'type': 'Other', 'normalized_text': 'Sequelae'}, {'start': 233, 'end': 240, 'probability': 0.9691, 'type': 'Other', 'normalized_text': 'COVID-19'}], 'urls': [{'start': 259, 'end': 282, 'url': 'https://t.co/0OjyiJ6lwn', 'expanded_url': 'https://bit.ly/3iJbEOy', 'display_url': 'bit.ly/3iJbEOy', 'images': [{'url': 'https://pbs.twimg.com/news_img/1608859778930851842/r7KbNexF?format=jpg&name=orig', 'width': 296, 'height': 100}, {'url': 'https://pbs.twimg.com/news_img/1608859778930851842/r7KbNexF?format=jpg&name=150x150', 'width': 100, 'height': 100}], 'status': 200, 'title': 'JACC Patient Care Pathways', 'description': 'JACC Patient Care Pathways is a new immersive, multimedia case report experience that depicts the integration of cross-specialty decision making supported by evidence-based medicine within a single patient journey.', 'unwound_url': 'https://www.jacc.org/jacc-patient-care-pathways?utm_medium=social&utm_source=twitter_post&utm_campaign=jpp'}, {'start': 283, 'end': 306, 'url': 'https://t.co/ZlKiTsrvZv', 'expanded_url': 'https://twitter.com/JACCJournals/status/1508883491978625029/photo/1', 'display_url': 'pic.twitter.com/ZlKiTsrvZv', 'media_key': '3_1508882778938564609'}]}",6,0,4
178460962,2022-03-29 15:43:22+00:00,1508832195581865985,"RT @twpiggott: The first study was a cluster RCT from Bangladesh. It showed that about 7 less people per 1,000 would get symptomatic COVID-…","{'mentions': [{'start': 3, 'end': 13, 'username': 'twpiggott', 'id': '138451153'}], 'annotations': [{'start': 45, 'end': 47, 'probability': 0.4363, 'type': 'Other', 'normalized_text': 'RCT'}, {'start': 54, 'end': 63, 'probability': 0.9663, 'type': 'Place', 'normalized_text': 'Bangladesh'}, {'start': 133, 'end': 137, 'probability': 0.9141, 'type': 'Other', 'normalized_text': 'COVID'}]}",0,0,5
1280606311265251330,2022-03-29 13:44:22+00:00,1508802245231624192,"2022 @ACCinTouch  Expert Consensus Pathway on CV Sequelae of COVID-19 in adults

From @JACCJournals 

⭐️When to test? 
⭐️Who to test? https://t.co/ZMCTcAHtHb","{'mentions': [{'start': 5, 'end': 16, 'username': 'ACCinTouch', 'id': '32463503'}, {'start': 86, 'end': 99, 'username': 'JACCJournals', 'id': '3199033990'}], 'annotations': [{'start': 49, 'end': 56, 'probability': 0.3028, 'type': 'Other', 'normalized_text': 'Sequelae'}, {'start': 61, 'end': 68, 'probability': 0.9808, 'type': 'Other', 'normalized_text': 'COVID-19'}], 'urls': [{'start': 134, 'end': 157, 'url': 'https://t.co/ZMCTcAHtHb', 'expanded_url': 'https://twitter.com/thePagerNews/status/1508802245231624192/photo/1', 'display_url': 'pic.twitter.com/ZMCTcAHtHb', 'media_key': '3_1508802241272197123'}]}",1,0,0
