author id,created_at,tweet_id,tweet,entities,like_count,quote_count,retweet_count
author id,created_at,tweet_id,tweet,entities,like_count,quote_count,retweet_count
789582770955702272,2021-02-27 21:41:03+00:00,1365779001940189184,"People less likely to adhere to Covid rules after vaccination, expert says https://t.co/ptZ3qd3DS6 https://t.co/6zEKYAHqct","{'annotations': [{'start': 32, 'end': 36, 'probability': 0.9763, 'type': 'Other', 'normalized_text': 'Covid'}], 'urls': [{'start': 75, 'end': 98, 'url': 'https://t.co/ptZ3qd3DS6', 'expanded_url': 'http://dlvr.it/RtdP6v', 'display_url': 'dlvr.it/RtdP6v'}, {'start': 99, 'end': 122, 'url': 'https://t.co/6zEKYAHqct', 'expanded_url': 'https://twitter.com/jlwoods0241/status/1365779001940189184/photo/1', 'display_url': 'pic.twitter.com/6zEKYAHqct', 'media_key': '3_1365779000447037441'}]}",0,0,0
243170507,2021-02-27 21:18:32+00:00,1365773335175589888,RT @DaltonRoad: FDA panel votes unanimously in favor of authorizing J&amp;J vaccine https://t.co/Z7Cd8WCyx5 https://t.co/ENJNEOp4Fo,"{'annotations': [{'start': 16, 'end': 18, 'probability': 0.9459, 'type': 'Organization', 'normalized_text': 'FDA'}], 'urls': [{'start': 84, 'end': 107, 'url': 'https://t.co/Z7Cd8WCyx5', 'expanded_url': 'https://arstechnica.com/?p=1745814&8cveP', 'display_url': 'arstechnica.com/?p=1745814&8cv…'}, {'start': 108, 'end': 131, 'url': 'https://t.co/ENJNEOp4Fo', 'expanded_url': 'https://twitter.com/DaltonRoad/status/1365744011504476165/photo/1', 'display_url': 'pic.twitter.com/ENJNEOp4Fo', 'media_key': '3_1365743984396615686'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'DaltonRoad', 'id': '21690812'}]}",0,0,1
121764250,2021-02-27 19:49:44+00:00,1365750989039546371,"@StatelerLaura &amp; I show 10 largest occupations for frontline #EssentialWorkers earning under $15/hr in 2018. Median wage in 2018 (likely higher today) of nursing assistants, stock clerks, security guards, groundskeepers, etc significantly &gt; $10.50/hr. 3/

https://t.co/zJkw3BYBTD https://t.co/YLVPfnDdOw","{'urls': [{'start': 263, 'end': 286, 'url': 'https://t.co/zJkw3BYBTD', 'expanded_url': 'https://www.brookings.edu/research/the-covid-19-hazard-continues-but-the-hazard-pay-does-not-why-americas-frontline-workers-need-a-raise/', 'display_url': 'brookings.edu/research/the-c…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1583292396288167936/BmxW-j36?format=jpg&name=orig', 'width': 1200, 'height': 630}, {'url': 'https://pbs.twimg.com/news_img/1583292396288167936/BmxW-j36?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'The COVID-19 hazard continues, but the hazard pay does not: Why America’s essential workers need a raise', 'description': 'While the hazards of COVID-19 are growing worse, few frontline essential workers are receiving any hazard pay at all.', 'unwound_url': 'https://www.brookings.edu/research/the-covid-19-hazard-continues-but-the-hazard-pay-does-not-why-americas-frontline-workers-need-a-raise/'}, {'start': 287, 'end': 310, 'url': 'https://t.co/YLVPfnDdOw', 'expanded_url': 'https://twitter.com/MollyKinder/status/1365750989039546371/photo/1', 'display_url': 'pic.twitter.com/YLVPfnDdOw', 'media_key': '3_1365743382597894145'}], 'hashtags': [{'start': 65, 'end': 82, 'tag': 'EssentialWorkers'}], 'mentions': [{'start': 0, 'end': 14, 'username': 'StatelerLaura', 'id': '1268555467724382211'}]}",1,0,0
21690812,2021-02-27 19:22:01+00:00,1365744011504476165,FDA panel votes unanimously in favor of authorizing J&amp;J vaccine https://t.co/Z7Cd8WCyx5 https://t.co/ENJNEOp4Fo,"{'annotations': [{'start': 0, 'end': 2, 'probability': 0.9606, 'type': 'Organization', 'normalized_text': 'FDA'}], 'urls': [{'start': 68, 'end': 91, 'url': 'https://t.co/Z7Cd8WCyx5', 'expanded_url': 'https://arstechnica.com/?p=1745814&8cveP', 'display_url': 'arstechnica.com/?p=1745814&8cv…'}, {'start': 92, 'end': 115, 'url': 'https://t.co/ENJNEOp4Fo', 'expanded_url': 'https://twitter.com/DaltonRoad/status/1365744011504476165/photo/1', 'display_url': 'pic.twitter.com/ENJNEOp4Fo', 'media_key': '3_1365743984396615686'}]}",1,0,1
2304097931,2021-02-27 16:31:31+00:00,1365701104240066564,"RT @teamCNO_: #teamCNO the NHS urgently needs more men who’ve had hospital care for #COVID19 to donate blood plasma.

They are 6 times more…","{'annotations': [{'start': 15, 'end': 21, 'probability': 0.7207, 'type': 'Organization', 'normalized_text': 'teamCNO'}, {'start': 27, 'end': 29, 'probability': 0.5577, 'type': 'Organization', 'normalized_text': 'NHS'}, {'start': 85, 'end': 91, 'probability': 0.967, 'type': 'Other', 'normalized_text': 'COVID19'}], 'hashtags': [{'start': 14, 'end': 22, 'tag': 'teamCNO'}, {'start': 84, 'end': 92, 'tag': 'COVID19'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'teamCNO_', 'id': '569003724'}]}",0,0,10
976774363,2021-02-27 16:21:32+00:00,1365698593483448321,FDA panel votes unanimously in favor of authorizing J&amp;J vaccine https://t.co/uESCAFChAd https://t.co/JJQdOYaPYl,"{'annotations': [{'start': 0, 'end': 2, 'probability': 0.9606, 'type': 'Organization', 'normalized_text': 'FDA'}], 'urls': [{'start': 68, 'end': 91, 'url': 'https://t.co/uESCAFChAd', 'expanded_url': 'http://dlvr.it/RtchrL', 'display_url': 'dlvr.it/RtchrL'}, {'start': 92, 'end': 115, 'url': 'https://t.co/JJQdOYaPYl', 'expanded_url': 'https://twitter.com/DonWonder98/status/1365698593483448321/photo/1', 'display_url': 'pic.twitter.com/JJQdOYaPYl', 'media_key': '3_1365698591667281922'}]}",0,0,0
2251383210,2021-02-27 15:24:05+00:00,1365684132764811264,"People less likely to adhere to Covid rules after vaccination, expert says https://t.co/G80nG2Iu3h https://t.co/3pDT24cqbq","{'annotations': [{'start': 32, 'end': 36, 'probability': 0.9763, 'type': 'Other', 'normalized_text': 'Covid'}], 'urls': [{'start': 75, 'end': 98, 'url': 'https://t.co/G80nG2Iu3h', 'expanded_url': 'http://dlvr.it/RtcXqC', 'display_url': 'dlvr.it/RtcXqC'}, {'start': 99, 'end': 122, 'url': 'https://t.co/3pDT24cqbq', 'expanded_url': 'https://twitter.com/AhmadNorMaulana/status/1365684132764811264/photo/1', 'display_url': 'pic.twitter.com/3pDT24cqbq', 'media_key': '3_1365684131191951364'}]}",0,0,0
65109514,2021-02-27 15:16:22+00:00,1365682191963947016,"People less likely to adhere to Covid rules after vaccination, expert says https://t.co/ONxPGHOPKS https://t.co/Uc1WiL97Ah","{'annotations': [{'start': 32, 'end': 36, 'probability': 0.9763, 'type': 'Other', 'normalized_text': 'Covid'}], 'urls': [{'start': 75, 'end': 98, 'url': 'https://t.co/ONxPGHOPKS', 'expanded_url': 'http://twib.in/l/zzee549GjGkr', 'display_url': 'twib.in/l/zzee549GjGkr'}, {'start': 99, 'end': 122, 'url': 'https://t.co/Uc1WiL97Ah', 'expanded_url': 'https://twitter.com/globalissuesweb/status/1365682191963947016/photo/1', 'display_url': 'pic.twitter.com/Uc1WiL97Ah', 'media_key': '3_1365682190533722113'}]}",0,0,0
3120920561,2021-02-27 14:32:53+00:00,1365671247489753089,"RT @teamCNO_: #teamCNO the NHS urgently needs more men who’ve had hospital care for #COVID19 to donate blood plasma.

They are 6 times more…","{'annotations': [{'start': 15, 'end': 21, 'probability': 0.7207, 'type': 'Organization', 'normalized_text': 'teamCNO'}, {'start': 27, 'end': 29, 'probability': 0.5577, 'type': 'Organization', 'normalized_text': 'NHS'}, {'start': 85, 'end': 91, 'probability': 0.967, 'type': 'Other', 'normalized_text': 'COVID19'}], 'hashtags': [{'start': 14, 'end': 22, 'tag': 'teamCNO'}, {'start': 84, 'end': 92, 'tag': 'COVID19'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'teamCNO_', 'id': '569003724'}]}",0,0,10
