author id,created_at,tweet_id,tweet,entities,like_count,quote_count,retweet_count
author id,created_at,tweet_id,tweet,entities,like_count,quote_count,retweet_count
1238853269872615424,2021-11-29 23:13:59+00:00,1465459052658536453,RT @Reuters: Vaccines should give good protection against Omicron - S.African expert https://t.co/4ateXl7sBC https://t.co/5eFwAezOk8,"{'annotations': [{'start': 58, 'end': 69, 'probability': 0.8016, 'type': 'Other', 'normalized_text': 'Omicron - S.'}], 'urls': [{'start': 85, 'end': 108, 'url': 'https://t.co/4ateXl7sBC', 'expanded_url': 'http://reut.rs/3re5jjI', 'display_url': 'reut.rs/3re5jjI'}, {'start': 109, 'end': 132, 'url': 'https://t.co/5eFwAezOk8', 'expanded_url': 'https://twitter.com/Reuters/status/1465310925729243138/photo/1', 'display_url': 'pic.twitter.com/5eFwAezOk8', 'media_key': '3_1465310923053224082'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'Reuters', 'id': '1652541'}]}",0,0,59
47319345,2021-11-29 22:45:05+00:00,1465451777730351114,"RT @Reuters: https://t.co/1fV5KEGWRK's COVID-19 cases could triple this week, expert says https://t.co/kLPkf9cSzk https://t.co/TGVIdzWFNr","{'annotations': [{'start': 39, 'end': 46, 'probability': 0.9863, 'type': 'Other', 'normalized_text': 'COVID-19'}], 'urls': [{'start': 13, 'end': 36, 'url': 'https://t.co/1fV5KEGWRK', 'expanded_url': 'http://S.Africa', 'display_url': 'S.Africa', 'unwound_url': 'http://S.Africa'}, {'start': 90, 'end': 113, 'url': 'https://t.co/kLPkf9cSzk', 'expanded_url': 'http://reut.rs/3o1XPy8', 'display_url': 'reut.rs/3o1XPy8'}, {'start': 114, 'end': 137, 'url': 'https://t.co/TGVIdzWFNr', 'expanded_url': 'https://twitter.com/Reuters/status/1465358720968368129/photo/1', 'display_url': 'pic.twitter.com/TGVIdzWFNr', 'media_key': '3_1465358718485385223'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'Reuters', 'id': '1652541'}]}",0,0,25
1236340597075689473,2021-11-29 22:18:49+00:00,1465445169919111176,"RT @SkyNews: ""This is not all doom and gloom at this stage.""

Professor Jonathan Van-Tam says if vaccine effectiveness is reduced by the Om…","{'annotations': [{'start': 72, 'end': 87, 'probability': 0.9731, 'type': 'Person', 'normalized_text': 'Jonathan Van-Tam'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'SkyNews', 'id': '7587032'}]}",0,0,10
4194932481,2021-11-29 20:55:46+00:00,1465424269366775812,"RT @MichaelPSenger: In March 2020, WHO released guidance recommending mechanical ventilators to treat COVID patients, citing Chinese journa…","{'annotations': [{'start': 35, 'end': 37, 'probability': 0.5062, 'type': 'Organization', 'normalized_text': 'WHO'}, {'start': 102, 'end': 106, 'probability': 0.9565, 'type': 'Other', 'normalized_text': 'COVID'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'MichaelPSenger', 'id': '1679362640'}]}",0,0,226
41633634,2021-11-29 19:29:51+00:00,1465402645900775426,RT @Reuters: S.African expert says vaccines likely effective vs severe COVID-19 from variant https://t.co/TCfRzMyV4H https://t.co/11E1cGDzqg,"{'annotations': [{'start': 14, 'end': 21, 'probability': 0.4891, 'type': 'Organization', 'normalized_text': '.African'}, {'start': 71, 'end': 78, 'probability': 0.9864, 'type': 'Other', 'normalized_text': 'COVID-19'}], 'urls': [{'start': 93, 'end': 116, 'url': 'https://t.co/TCfRzMyV4H', 'expanded_url': 'http://reut.rs/3FWaCIF', 'display_url': 'reut.rs/3FWaCIF'}, {'start': 117, 'end': 140, 'url': 'https://t.co/11E1cGDzqg', 'expanded_url': 'https://twitter.com/Reuters/status/1465264347400310787/photo/1', 'display_url': 'pic.twitter.com/11E1cGDzqg', 'media_key': '3_1465264345059889157'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'Reuters', 'id': '1652541'}]}",0,0,59
26350330,2021-11-29 19:27:26+00:00,1465402039568117769,"RT @WBBMRachel: ""I'm sure it's here, we just haven't caught it yet."" Lori Post with @NUFeinbergMed says the #Omicron variant of COVID-19 ha…","{'annotations': [{'start': 69, 'end': 77, 'probability': 0.7741, 'type': 'Person', 'normalized_text': 'Lori Post'}, {'start': 109, 'end': 115, 'probability': 0.9105, 'type': 'Other', 'normalized_text': 'Omicron'}, {'start': 128, 'end': 135, 'probability': 0.9847, 'type': 'Other', 'normalized_text': 'COVID-19'}], 'hashtags': [{'start': 108, 'end': 116, 'tag': 'Omicron'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'WBBMRachel', 'id': '747872048219848705'}, {'start': 84, 'end': 98, 'username': 'NUFeinbergMed', 'id': '68506542'}]}",0,0,1
747872048219848705,2021-11-29 19:26:59+00:00,1465401923767619587,"""I'm sure it's here, we just haven't caught it yet."" Lori Post with @NUFeinbergMed says the #Omicron variant of COVID-19 has likely made its way to the United States. She discusses her research on the global spread of #COVID19 on @WBBMNewsradio. https://t.co/XcarUAtc7q","{'annotations': [{'start': 53, 'end': 61, 'probability': 0.6734, 'type': 'Person', 'normalized_text': 'Lori Post'}, {'start': 93, 'end': 99, 'probability': 0.8806, 'type': 'Other', 'normalized_text': 'Omicron'}, {'start': 112, 'end': 119, 'probability': 0.9879, 'type': 'Other', 'normalized_text': 'COVID-19'}, {'start': 152, 'end': 164, 'probability': 0.9247, 'type': 'Place', 'normalized_text': 'United States'}, {'start': 219, 'end': 225, 'probability': 0.9685, 'type': 'Other', 'normalized_text': 'COVID19'}], 'urls': [{'start': 246, 'end': 269, 'url': 'https://t.co/XcarUAtc7q', 'expanded_url': 'https://twitter.com/WBBMRachel/status/1465401923767619587/photo/1', 'display_url': 'pic.twitter.com/XcarUAtc7q', 'media_key': '3_1465401842473521168'}], 'hashtags': [{'start': 92, 'end': 100, 'tag': 'Omicron'}, {'start': 218, 'end': 226, 'tag': 'COVID19'}], 'mentions': [{'start': 68, 'end': 82, 'username': 'NUFeinbergMed', 'id': '68506542'}, {'start': 230, 'end': 244, 'username': 'WBBMNewsradio', 'id': '26350330'}]}",3,0,1
483133374,2021-11-29 19:24:17+00:00,1465401244890116099,RT @Reuters: S.African expert says vaccines likely effective vs severe COVID-19 from variant https://t.co/TCfRzMyV4H https://t.co/11E1cGDzqg,"{'annotations': [{'start': 14, 'end': 21, 'probability': 0.4891, 'type': 'Organization', 'normalized_text': '.African'}, {'start': 71, 'end': 78, 'probability': 0.9864, 'type': 'Other', 'normalized_text': 'COVID-19'}], 'urls': [{'start': 93, 'end': 116, 'url': 'https://t.co/TCfRzMyV4H', 'expanded_url': 'http://reut.rs/3FWaCIF', 'display_url': 'reut.rs/3FWaCIF'}, {'start': 117, 'end': 140, 'url': 'https://t.co/11E1cGDzqg', 'expanded_url': 'https://twitter.com/Reuters/status/1465264347400310787/photo/1', 'display_url': 'pic.twitter.com/11E1cGDzqg', 'media_key': '3_1465264345059889157'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'Reuters', 'id': '1652541'}]}",0,0,59
29733087,2021-11-29 19:20:18+00:00,1465400244607270918,RT @ReutersAfrica: South African expert says vaccines likely effective vs severe COVID-19 from variant https://t.co/URLfxfxRS1 https://t.co…,"{'annotations': [{'start': 81, 'end': 88, 'probability': 0.9849, 'type': 'Other', 'normalized_text': 'COVID-19'}], 'urls': [{'start': 103, 'end': 126, 'url': 'https://t.co/URLfxfxRS1', 'expanded_url': 'https://www.reuters.com/world/africa/safrican-expert-says-vaccines-likely-effective-vs-severe-covid-19-variant-2021-11-29/', 'display_url': 'reuters.com/world/africa/s…', 'status': 200, 'unwound_url': 'https://www.reuters.com/world/africa/safrican-expert-says-vaccines-likely-effective-vs-severe-covid-19-variant-2021-11-29/'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'ReutersAfrica', 'id': '25387183'}]}",0,0,22
