author id,created_at,tweet_id,tweet,entities,like_count,quote_count,retweet_count
author id,created_at,tweet_id,tweet,entities,like_count,quote_count,retweet_count
1149242040414298113,2021-09-29 23:21:48+00:00,1443355359616200705,"@PaulRChase @EssexPR ""Unfortunately, many elected leaders and public health officials have held on far too long to the hypothesis that natural immunity offers unreliable protection against covid-19 — a contention that is being rapidly debunked by science.""

https://t.co/yvsyZAQisg&gt; https://t.co/AVgBixTm4W","{'mentions': [{'start': 0, 'end': 11, 'username': 'PaulRChase', 'id': '91122608'}, {'start': 12, 'end': 20, 'username': 'EssexPR', 'id': '41702018'}], 'urls': [{'start': 258, 'end': 281, 'url': 'https://t.co/yvsyZAQisg', 'expanded_url': 'https://www.washingtonpost.com/outlook/2021/09/15/natural-immunity-vaccine-mandate/', 'display_url': 'washingtonpost.com/outlook/2021/0…'}, {'start': 286, 'end': 309, 'url': 'https://t.co/AVgBixTm4W', 'expanded_url': 'https://twitter.com/JamesLadbroke/status/1443355359616200705/photo/1', 'display_url': 'pic.twitter.com/AVgBixTm4W', 'media_key': '3_1443354977418629126'}], 'annotations': [{'start': 189, 'end': 196, 'probability': 0.9508, 'type': 'Other', 'normalized_text': 'covid-19'}]}",0,0,0
370779584,2021-09-29 22:51:57+00:00,1443347846451847170,"RT @keithgeraghty: https://t.co/ytaH0ehqDc new research shows lingering symptoms post-Covid #LongCovid, yet UK psychiatrists appear surpris…","{'hashtags': [{'start': 92, 'end': 102, 'tag': 'LongCovid'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'keithgeraghty', 'id': '191762611'}], 'urls': [{'start': 19, 'end': 42, 'url': 'https://t.co/ytaH0ehqDc', 'expanded_url': 'https://www.dailymail.co.uk/news/article-10036775/Covid-survivors-50-likely-struck-lasting-symptoms-disease.html', 'display_url': 'dailymail.co.uk/news/article-1…'}], 'annotations': [{'start': 86, 'end': 90, 'probability': 0.934, 'type': 'Other', 'normalized_text': 'Covid'}, {'start': 93, 'end': 101, 'probability': 0.3643, 'type': 'Place', 'normalized_text': 'LongCovid'}, {'start': 108, 'end': 109, 'probability': 0.9517, 'type': 'Place', 'normalized_text': 'UK'}]}",0,0,37
2590147053,2021-09-29 21:48:28+00:00,1443331869022511112,RT @KenRoth: A task force investigating the origins of Covid-19 disbands because of a conflict of interest. It had been led until June by P…,"{'mentions': [{'start': 3, 'end': 11, 'username': 'KenRoth', 'id': '17839398'}], 'annotations': [{'start': 55, 'end': 62, 'probability': 0.987, 'type': 'Other', 'normalized_text': 'Covid-19'}]}",0,0,20
230476880,2021-09-29 21:34:52+00:00,1443328449981079560,"RT @keithgeraghty: https://t.co/ytaH0ehqDc new research shows lingering symptoms post-Covid #LongCovid, yet UK psychiatrists appear surpris…","{'hashtags': [{'start': 92, 'end': 102, 'tag': 'LongCovid'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'keithgeraghty', 'id': '191762611'}], 'urls': [{'start': 19, 'end': 42, 'url': 'https://t.co/ytaH0ehqDc', 'expanded_url': 'https://www.dailymail.co.uk/news/article-10036775/Covid-survivors-50-likely-struck-lasting-symptoms-disease.html', 'display_url': 'dailymail.co.uk/news/article-1…'}], 'annotations': [{'start': 86, 'end': 90, 'probability': 0.934, 'type': 'Other', 'normalized_text': 'Covid'}, {'start': 93, 'end': 101, 'probability': 0.3643, 'type': 'Place', 'normalized_text': 'LongCovid'}, {'start': 108, 'end': 109, 'probability': 0.9517, 'type': 'Place', 'normalized_text': 'UK'}]}",0,0,37
256158533,2021-09-29 19:52:59+00:00,1443302806623035399,RT @CanvasLMS: The uncertain trajectory of the COVID-19 pandemic continues to have an impact on higher education globally. Read current per…,"{'mentions': [{'start': 3, 'end': 13, 'username': 'CanvasLms', 'id': '1511413320095612934'}], 'annotations': [{'start': 47, 'end': 54, 'probability': 0.9869, 'type': 'Other', 'normalized_text': 'COVID-19'}]}",0,0,2
1388378008327659520,2021-09-29 19:27:20+00:00,1443296354889961472,@Abadi87496840's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,"{'urls': [{'start': 98, 'end': 108, 'url': 'https://support.twitter.com/articles/20169199', 'expanded_url': 'https://support.twitter.com/articles/20169199', 'display_url': 'Learn more'}], 'annotations': [{'start': 13, 'end': 17, 'probability': 0.9303, 'type': 'Other', 'normalized_text': 'Covid'}, {'start': 31, 'end': 32, 'probability': 0.9328, 'type': 'Place', 'normalized_text': 'NZ'}]}",0,0,1
24695651,2021-09-29 18:46:51+00:00,1443286163759017997,"RT @UMich: Could #COVID19 become seasonal? Rafael Meza, @UMichSPH professor of epidemiology and global public health, says yes, likely in t…","{'hashtags': [{'start': 17, 'end': 25, 'tag': 'COVID19'}], 'mentions': [{'start': 3, 'end': 9, 'username': 'UMich', 'id': '88836132'}, {'start': 56, 'end': 65, 'username': 'umichsph', 'id': '24695651'}], 'annotations': [{'start': 18, 'end': 24, 'probability': 0.9734, 'type': 'Other', 'normalized_text': 'COVID19'}, {'start': 43, 'end': 53, 'probability': 0.9709, 'type': 'Person', 'normalized_text': 'Rafael Meza'}]}",0,0,1
802868663095279616,2021-09-29 17:51:20+00:00,1443272194381975553,"So far studies are showing that if you've had covid &amp; are unvaccinated you are 2.34 times as likely to get Covid again than someone who is vaccinated. Y'all are both ignorant &amp; wrong. Whatever research he did obviously didn't include looking at CDC info.🙄

From the CDC website: https://t.co/8Jt0QcA4i8 https://t.co/Diwpo1HNZM","{'urls': [{'start': 287, 'end': 310, 'url': 'https://t.co/8Jt0QcA4i8', 'expanded_url': 'https://twitter.com/jamiesbowen/status/1443272194381975553/photo/1', 'display_url': 'pic.twitter.com/8Jt0QcA4i8', 'media_key': '3_1443272192637210628'}, {'start': 311, 'end': 334, 'url': 'https://t.co/Diwpo1HNZM', 'expanded_url': 'https://twitter.com/ClayTravis/status/1442852144646922246', 'display_url': 'twitter.com/ClayTravis/sta…'}], 'annotations': [{'start': 46, 'end': 50, 'probability': 0.945, 'type': 'Other', 'normalized_text': 'covid'}, {'start': 111, 'end': 115, 'probability': 0.9682, 'type': 'Other', 'normalized_text': 'Covid'}, {'start': 253, 'end': 255, 'probability': 0.8554, 'type': 'Organization', 'normalized_text': 'CDC'}, {'start': 274, 'end': 276, 'probability': 0.7907, 'type': 'Organization', 'normalized_text': 'CDC'}]}",0,0,0
255325911,2021-09-29 17:47:46+00:00,1443271297937678340,"RT @keithgeraghty: https://t.co/ytaH0ehqDc new research shows lingering symptoms post-Covid #LongCovid, yet UK psychiatrists appear surpris…","{'hashtags': [{'start': 92, 'end': 102, 'tag': 'LongCovid'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'keithgeraghty', 'id': '191762611'}], 'urls': [{'start': 19, 'end': 42, 'url': 'https://t.co/ytaH0ehqDc', 'expanded_url': 'https://www.dailymail.co.uk/news/article-10036775/Covid-survivors-50-likely-struck-lasting-symptoms-disease.html', 'display_url': 'dailymail.co.uk/news/article-1…'}], 'annotations': [{'start': 86, 'end': 90, 'probability': 0.934, 'type': 'Other', 'normalized_text': 'Covid'}, {'start': 93, 'end': 101, 'probability': 0.3643, 'type': 'Place', 'normalized_text': 'LongCovid'}, {'start': 108, 'end': 109, 'probability': 0.9517, 'type': 'Place', 'normalized_text': 'UK'}]}",0,0,37
